id,prompt,option1,option2,option3,option4,correct,explanation
wsb19,Safe way to install extensions?,Random sites,Official store,Email attachments,Torrent,2,Use the official web store only.
wsb20,Which setting improves privacy?,Allow all cookies,Block third‑party cookies,Enable Flash,Disable updates,2,Blocking third‑party cookies reduces tracking.
wsb21,URL with “.ru” at end means…,Malicious always,Russian TLD,Redirect only,Secure site,2,It’s just a top‑level domain.
wsb22,What is a referrer?,Password,Header with previous page,Tracking pixel,Malware,2,Referrer header shows where you came from.
wsb23,Safe method to verify downloads?,Run directly,Hash/signature check,Open in email,Rename file,2,Verify checksum or signature.
wsb24,What is HSTS?,Email protocol,Forcing HTTPS,Password reset,VPN mode,2,HSTS enforces HTTPS automatically.
wsb25,Incognito mode…,Hides from employer,Disables extensions,Hides local history,Hides IP,3,It mainly prevents local history saving.
wsb26,What to do with suspicious pop‑ups?,Interact to close,Use task manager,Click OK,Type data,2,Force close or block.
wsb27,What is a PUP?,Potentially unwanted program,Purple update plan,Public user profile,Power user process,1,Adware/toolbar often bundled.
wsb28,What is a CAPTCHA for?,Block bots,Encrypt traffic,Speed sites,Backup data,1,It differentiates humans from bots.
wsb29,QR code on websites can…,Open links safely always,Be malicious,Only show text,Bypass HTTPS,2,QR can point to phishing URLs.
wsb30,Certificate pinning prevents…,DNS leaks,MITM with rogue cert,Password reuse,Spam,2,Pins to a known certificate.
wsb31,Which is a sign of compromised site?,Spelling fixes,Unusual redirects,Dark mode,Larger fonts,2,Unexpected redirects indicate compromise.
wsb32,What is CSP?,Content Security Policy,Client Server Port,Cookie SameSite Policy,Cloud Service Plan,1,CSP mitigates XSS by restricting sources.
wsb33,Browser auto‑update should be…,Disabled,Manual only,Enabled,Random,3,Stay protected with updates.
wsb34,What is social engineering?,Hardware attack,Tricking users,Server patching,Wi‑Fi tuning,2,Manipulates people not systems.
wsb35,Safe handling of browser passwords?,Export to email,Plain text file,Use built‑in/manager,Share with admin,3,Store securely with a manager.
wsb36,Which URL is suspect?,login.example.com,secure.example.com,example.com-login.co,account.example.com,3,Hyphenated domain at end is suspicious.
wsb37,Ad‑blockers can…,Reduce malware risk,Increase spam,Disable AV,Steal data by default,1,Fewer malvertising vectors.
wsb38,Sandboxing helps by…,Isolating processes,Speeding CPU,Compressing files,Blocking all trackers,1,It limits damage from exploits.
wsb39,Which is safer download source?,Random blog,Official vendor,Friend’s USB,Forum mirror,2,Prefer official vendor.
wsb40,What is a phishing kit?,Security tool,Bundle to build phishing pages,Browser theme,Training course,2,It’s a ready‑made phishing package.
wsb41,Strong sign of fake support chat?,Grammar perfect,Asks for password,Has logo,Uses green color,2,Legit support never asks passwords.
wsb42,When encountering mixed content warnings…,Ignore,Fix later,Do not submit data,Enable Flash,3,Avoid forms on mixed content pages.
wsb43,What helps identify fake giveaways?,Too good to be true,Simple rules,Official pages,Limited winners,1,Unrealistic rewards are suspicious.
wsb44,Passwordless with WebAuthn uses…,SMS codes,Security keys/Biometrics,Email links,Backup codes,2,Uses platform authenticators or keys.
wsb45,Phishing often creates urgency to…,Delay action,Verify offline,Act quickly,Mute device,3,Pressure is a classic tactic.
wsb46,Which is safer payment page?,HTTP,HTTPS with padlock,IP address only,Embedded in iframe from other site,2,Use HTTPS and verify domain.
wsb47,URL shortener best practice?,Never use,Preview/expand before click,Open all,Trust by default,2,Preview to inspect destination.
wsb48,Safe browsing database purpose?,Track shopping,Block known threats,Speed videos,Improve fonts,2,Browsers block malicious sites.
wsb49,Before entering card details…,Use public Wi‑Fi,Check padlock and domain,Disable 2FA,Use same password,2,Verify secure connection and site.
wsb50,Best response to suspicious website behavior?,Report and leave,Keep browsing,Enter fake data,Disable updates,1,Exit and report to admin.




















