id,prompt,option1,option2,option3,option4,correct,explanation
wsi31,Prevent CSRF on state‑changing requests by…,GET only,CSRF tokens,Caching,CDN,2,Use anti‑CSRF tokens.
wsi32,What is a pharming attack?,Browser lag,DNS poisoning,FTP failure,Video lag,2,Redirects victims via DNS poisoning.
wsi33,Homograph detection tools look for…,Font size,Unicode tricks,Ad blockers,Screen DPI,2,They detect confusable characters.
wsi34,Good link preview practice?,Open directly,Check domain and path,Trust shorteners,Ignore warnings,2,Inspect where it leads.
wsi35,Suspicious cookie behavior includes…,Short expiry,HTTPOnly,Sensitive + non‑secure,SameSite,3,Sensitive cookies must be secure.
wsi36,Secure context required for…,Clipboard APIs,CSS Grid,Flexbox,HTML5 video,1,Many powerful APIs need HTTPS.
wsi37,Phishing via OAuth consent screens…,Impossible,Ask broad scopes,Only on mobile,Harmless,2,Attackers request excessive scopes.
wsi38,Certificate revocation checked via…,OCSP/CRL,Robots,TTL,WHOIS,1,OCSP and CRLs indicate revocation.
wsi39,Mitigate open‑in‑app deep link abuse by…,Allow all,Validate domains,Block HTTPS,Disable JS,2,Restrict to trusted domains.
wsi40,Best practice for admin portals…,Default creds,Public internet,IP allowlist/MFA,HTTP only,3,Use MFA and restrict access.
wsi41,Detect fake wallets via…,Random TLD use,Permissioned blockchains,Community trust + audits,SVG logo,3,Check audits and community feedback.
wsi42,Passwordless phishing defense strength is…,High,Low,Same as passwords,Irrelevant,1,Prevents credential replay.
wsi43,Safe browser cleanup tool source?,Random blog,Official vendor,DM link,Torrent,2,Official vendor only.
wsi44,Prevent UI redressing by…,Frame busting & XFO,CSS filters,Viewport tag,Fonts,1,Use X‑Frame‑Options and frame busting.
wsi45,Trusted site seals can be…,Faked,E2E secure,Malware free,Immutable,1,Seals can be copied.
wsi46,Secure payment requires…,Verified domain + 3DS,Short URL,IP address,HTTP only,1,Use strong auth and proper domain.
wsi47,Browser password leak checks use…,Pwned lists,CDN images,CSS counters,Robots.txt,1,Compare hashes with breach lists.
wsi48,Safe cookie flags are…,Secure + HttpOnly,Public,Editable,Third‑party only,1,Secure protects in transit; HttpOnly stops JS.
wsi49,Detect fake update sites by…,Asking passwords,Official vendor domain,All caps text,Stock photos,2,Always verify the domain.
wsi50,Best practice on suspicious tabs…,Close and report,Continue test,Enter data,Trust page,1,Leave and report.


















