id,prompt,option1,option2,option3,option4,correct,explanation
ei29,Inline images with link maps are risky because?,They speed up mail,They can hide tracking/malicious links,They compress attachments,They improve UX,2,They can hide tracking/malicious actions.
ei30,DMARC p=reject means?,Deliver to spam,Reject unauthenticated mail,Ignore auth,Allow all,2,Reject blocks failing messages.
ei31,SPF neutral result indicates?,Definite pass,No explicit policy about sender,Guaranteed fail,Header removal,2,Neutral means no policy for that sender.
ei32,Best action after reporting phish?,Ignore inbox,Wait and continue training,Engage with SOC as needed,Share publicly,3,Follow internal process with SOC.
ei33,Credential harvesting pages often have?,No input,Non‑interactive images,Masked password fields and fake SSO,SSH prompt,3,Look for fake SSO and controlled inputs.
ei34,Malicious macros are commonly in?,.txt,.docm,.png,.pdf only,2,Macro‑enabled Office files can be dangerous.
ei35,Why verify DKIM selector?,To ensure key lookup correctness,To change theme,To speed DNS,To block ads,1,Selector identifies the correct DKIM key.
ei36,DMARC alignment types?,Relaxed/Strict,Left/Right,Open/Closed,Auto/Manual,1,Alignment can be relaxed or strict.
ei37,What is BIMI?,Brand logo display based on auth,Mailbox cleanup,Spam score tool,Mobile theme,1,BIMI displays logos if auth requirements met.
ei38,Forwarded messages may break?,SPF alignment,DLP rules,Wi‑Fi,DMZ,1,SPF can fail after forwarding.
ei39,Mail gateway time‑of‑click protection?,Scans links when clicked,Deletes mails,Compresses mail,Changes fonts,1,It analyzes links at click time.
ei40,Best way to validate payment change request?,Reply to email,Use known phone number to confirm,Send gift cards,Delay payroll,2,Verify using a trusted out‑of‑band channel.
ei41,DMARC rua vs ruf?,Aggregate vs forensic reports,Forward vs back,Auth vs spam,Daily vs hourly,1,rua aggregates; ruf is forensic.
ei42,Why least privilege on shared mailboxes?,Reduce theft risk,Speed up replies,Add emojis,Enable colors,1,Limits damage if compromised.
ei43,Sender Policy “~all” means?,Hard fail,Soft fail,Pass,Neutral,2,~all denotes softfail.
ei44,Why check age of domain?,Recent domains are more suspicious,Older is always malicious,Age irrelevant,Affects IMAP only,1,Brand‑new domains are often abused.
ei45,Exfiltration via auto‑forward typically uses?,Filters to external addresses,IMAP only,POP3 only,SMTP only,1,Malicious rules forward mail externally.
ei46,Compromised mailbox signs include?,Unsent drafts only,Unknown forwarding rules,Theme change,Correct avatars,2,Unrecognized rules are a sign.
ei47,URL shortener in corporate email?,Always safe,Risky; expand/verify first,Always blocked,Only safe on mobile,2,Short links should be expanded.
ei48,Security awareness tip cadence?,Once a decade,Quarterly/ongoing training,Daily all‑hands,Never,2,Regular ongoing training is effective.
ei49,Attachment “invoice.scr” is?,Plain text,Screen saver executable,PDF,Compressed doc,2,.scr is executable; treat as malicious.
ei50,Header “X‑PhishScore: 85” means?,Guaranteed phish,Heuristic score from a tool,DMARC fail,Wi‑Fi issue,2,It’s a tool‑specific heuristic score.




