id,prompt,option1,option2,option3,option4,correct,explanation
wsa36,Protect from key‑logging overlays by…,Focus indicators + permissions,More fonts,Scroll snapping,Grid,1,Detect and prevent overlays.
wsa37,How to validate app downloads?,Code signing verification,Check file size,Light theme,DPI,1,Validate signatures.
wsa38,Prevent OAuth token leakage via redirects by…,Fragment response type,Form post only,Query tokens,Wildcard,2,Use form post or secure patterns.
wsa39,Detect fake payment popups by…,Origin trial,Window.open with trusted origins,New tab only,Flexbox,2,Check opener/origin.
wsa40,Limit exposure to cross‑site leaks by…,COOP/COEP,Inline JS,Public CDNs,Old TLS,1,Use isolation headers.
wsa41,Passkey attestation proves…,Device model & authenticator,IP address,Theme,Viewport,1,Attestation conveys authenticator info.
wsa42,SSRF defenses on web apps include…,Deny‑list only,Allowlist egress + metadata protection,Old proxies,Disable TLS,2,Restrict egress and protect metadata.
wsa43,Safe link sharing practice?,Strip tracking params,Add query tokens,Shorten always,Use file:,1,Remove trackers.
wsa44,PKCE strengthens…,Authorization code flow,Implicit flow,Password grant,Device grant only,1,PKCE binds code to client.
wsa45,How to detect phishing via CT logs?,Search brand keywords,Dark mode,Grid,Flexbox,1,Monitor for certs containing brand.
wsa46,Replay‑resistant tokens are…,DPoP‑bound tokens,JWT HS256,TLS only,Refresh tokens only,1,DPoP binds tokens to key.
wsa47,What is device binding?,Bind session to user agent,Bind auth to device public key,Color theme bind,Font bind,2,Keys tied to device prevent replay.
wsa48,Mitigate phishing MFA bypass by…,FIDO2/WebAuthn,Color picker,Flexbox,Text shadow,1,Use phishing‑resistant MFA.
wsa49,How to verify browser update pages?,Vendor domain + cert,Short URL,Any TLD,Ad link,1,Always verify official domain and TLS.
wsa50,Best action on suspected sophisticated phishing?,Report to security & avoid interaction,Test on prod,Enter dummy data,Trust page,1,Escalate and avoid interaction.

